raw_field,official_name,official_size,official_required,official_sample,official_description,actual_examples,staging_dtype,semantic_dtype,nonblank_rows,null_or_blank_rate,distinct_count,numeric_zero_rows,staging_preserved,canonical_preservation,current_transform,information_loss,field_category,prediction_time_direct_use,historical_feature_source,post_race_information,review_status
buG8fAccTime,부경G8F통과누적기록,"5,1",1,0,부경G8F통과누적기록,0 | 25.5 | 25.8,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,50,49062,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buG8fOrd,부경G8F통과순위,2,1,0,부경G8F통과순위,0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,17,49062,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buS1fAccTime,부경S1F통과누적기록,"5,1",1,0,부경S1F통과누적기록,0 | 14.1 | 14.2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,50,28878,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buS1fOrd,부경S1F통과순위,2,1,0,부경S1F통과순위,0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,28864,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buS1fTime,부경S1F통과기록,"5,1",1,0,부경S1F통과기록,0 | 14.1 | 14.2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,50,28878,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
bu_10_8fTime,부경10-8F통과기록,"5,1",1,0,부경10-8F통과기록,0 | 25.5 | 25.8,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,47,49062,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
bu_1fGTime,부경1F-G통과기록,"5,1",1,0,부경1F-G통과기록,0 | 13.9 | 13.7,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,98,28913,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
bu_2fGTime,부경2F-G통과기록,"5,1",1,0,부경2F-G통과기록,0 | 26.5 | 26.4,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,135,28913,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
bu_3fGTime,부경3F-G통과기록,"5,1",1,0,부경3F-G통과기록,0 | 39.7 | 39.1,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,171,28913,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
bu_4_2fTime,부경4-2F통과기록,"5,1",1,0,부경4-2F통과기록,0 | 25.3 | 24.9,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,93,28899,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
bu_6_4fTime,부경6-4F통과기록,"5,1",1,0,부경6-4F통과기록,0 | 25 | 25.2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,80,29216,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
bu_8_6fTime,부경8-6F통과기록,"5,1",1,0,부경8-6F통과기록,0 | 8.5 | 8.6,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,94,39425,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
budam,부담구분,8,1,별정A,부담구분,핸디캡 | 별정A | 마령,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,4,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
buga1,부가상금1,12,1,0,부가상금1,0 | 5760000 | 7200000,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,71,47825,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
buga2,부가상금2,12,1,0,부가상금2,0 | 2880000 | 3600000,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,71,47825,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
buga3,부가상금3,12,1,0,부가상금3,0 | 960000 | 1200000,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,71,47825,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
chaksun1,1착상금,12,1,22000000,1착상금,24750000 | 33000000 | 16500000,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,15,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
chaksun2,2착상금,12,1,8800000,2착상금,9900000 | 13200000 | 6600000,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,15,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
chaksun3,3착상금,12,1,5600000,3착상금,6300000 | 8400000 | 4200000,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,14,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
chaksun4,4착상금,12,1,2000000,4착상금,2250000 | 3000000 | 1500000,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,15,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
chaksun5,5착상금,12,1,1600000,5착상금,1800000 | 2400000 | 1200000,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,15,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
chulNo,출주번호,3,1,11,출주번호,1 | 2 | 3,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,16,0,YES,canonical.runner_result.gate_no,Mapped to canonical.runner_result.gate_no,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
diffUnit,착차,10,1,-,착차,- | ½ | ¾,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,105,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
hrName,마명,30,1,은혜,마명,남도일등 | 대호마 | 스토미데이,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,5213,0,YES,canonical.runner_result.horse_name,Mapped to canonical.runner_result.horse_name,NO_OR_INTENTIONAL_CAST,DISPLAY,NOT_A_MODEL_FEATURE,NO,NO,DEFERRED
hrNameEn,영문마명,100,1,EUNHYE,영문마명,NAMDO ILDEUNG | DAEHOMA | STORMY DAY,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,4994,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,DISPLAY,NOT_A_MODEL_FEATURE,NO,NO,DEFERRED
hrNo,마번,7,1,0044233,마번,0042818 | 0042912 | 0045858,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,4994,0,YES,canonical.runner_result.horse_id,Mapped to canonical.runner_result.horse_id,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
ilsu,경주일수,3,1,12,경주일수,13 | 29 | 9,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,98,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,NEEDS_VALIDATION,NOT_HORSE_REST_DAYS,NO,NO,PROHIBITED
jeG1fTime,제주G-1F통과기록,"5,1",1,0,제주G-1F통과기록,0,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,1,49386,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
jeG3fTime,제주G-3F통과기록,"5,1",1,0,제주G-3F통과기록,0,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,1,49386,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
jeS1fTime,제주S-1F통과기록,"5,1",1,0,제주S-1F통과기록,0,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,1,49386,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
je_1cTime,제주1코너통과기록,"5,1",1,0,제주1코너통과기록,0,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,1,49386,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
je_2cTime,제주2코너통과기록,"5,1",1,0,제주2코너통과기록,0,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,1,49386,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
je_3cTime,제주3코너통과기록,"5,1",1,0,제주3코너통과기록,0,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,1,49386,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
je_4cTime,제주4코너통과기록,"5,1",1,0,제주4코너통과기록,0,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,1,49386,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
jkName,기수명,30,1,안토니오,기수명,임다빈 | 장추열 | 송재철,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,99,0,YES,canonical.runner_result.jockey_name,Mapped to canonical.runner_result.jockey_name,NO_OR_INTENTIONAL_CAST,DISPLAY,NOT_A_MODEL_FEATURE,NO,NO,DEFERRED
jkNameEn,영문기수이름,100,1,Antonio Davielson,영문기수이름,Lim Da Bin | Jang Chu Youl | Song Jae Chul,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,103,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,DISPLAY,NOT_A_MODEL_FEATURE,NO,NO,DEFERRED
jkNo,기수번호,6,1,080576,기수번호,080602 | 080476 | 080513,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,99,0,YES,canonical.runner_result.jockey_id,Mapped to canonical.runner_result.jockey_id,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
meet,"시행경마장명(서울, 제주, 부산경남)",20,1,서울,"시행경마장명(서울, 제주, 부산경남)",서울 | 부산경남,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,2,0,YES,canonical.race.meet_code/meet_name,Mapped to canonical.race.meet_code/meet_name,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
name,국적,20,1,한국,국적,한국 | 미국 | 뉴질랜드,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,6,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,DISPLAY,NOT_A_MODEL_FEATURE,NO,NO,DEFERRED
ord,순위,2,1,1,순위,1 | 2 | 6,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,23,85,YES,canonical.runner_result.ord_raw/official_finish_rank/result_status,Mapped to canonical.runner_result.ord_raw/official_finish_rank/result_status,NO_OR_INTENTIONAL_CAST,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
owName,마주명,30,1,강태구,마주명,이장현 | 이종훈 | (주)디알엠씨티,VARCHAR,VARCHAR (semantic cast only when defined),49351,0.0007087,665,0,YES,canonical.runner_result.owner_name,Mapped to canonical.runner_result.owner_name,NO_OR_INTENTIONAL_CAST,DISPLAY,NOT_A_MODEL_FEATURE,NO,NO,DEFERRED
owNameEn,영문마주이름,100,1,Kang Tae Gu,영문마주이름,Lee Jong Hun | Lee Jang Hyun  | D R M City,VARCHAR,VARCHAR (semantic cast only when defined),49351,0.0007087,663,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,DISPLAY,NOT_A_MODEL_FEATURE,NO,NO,DEFERRED
owNo,마주번호,6,1,119016,마주번호,117004 | 105127 | 114026,VARCHAR,VARCHAR (semantic cast only when defined),49351,0.0007087,658,0,YES,canonical.runner_result.owner_id,Mapped to canonical.runner_result.owner_id,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_AUXILIARY,UNVERIFIED,YES,NO,NEEDS_VALIDATION
plcOdds,복승식 배당율,"8,1",1,1.7,복승식 배당율,1.6 | 1.5 | 1.7,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,449,734,YES,canonical.runner_result.place_odds,Mapped to canonical.runner_result.place_odds,NO_OR_INTENTIONAL_CAST,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
prizeCond,경주조건,30,1,R0~0,경주조건,R0~0 | R1~35 | R1~50,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,27,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
rank,등급조건,20,1,국6등급,등급조건,국6등급 | 국5등급 | 혼4등급,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,10,0,YES,canonical.race.race_grade,Mapped to canonical.race.race_grade,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
rating,레이팅(등급),6,1,0,레이팅(등급),0 | 29 | 36,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,98,13527,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
rcDate,경주일자,8,1,20220220,경주일자,20240218 | 20240204 | 20251026,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,386,0,YES,canonical.race.race_date,Mapped to canonical.race.race_date,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
rcDay,경주요일,20,1,일요일,경주요일,일요일 | 토요일 | 금요일,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,6,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,DISPLAY,NOT_A_MODEL_FEATURE,NO,NO,DEFERRED
rcDist,경주거리,4,1,1200,경주거리,1200 | 1400 | 1300,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,11,0,YES,canonical.race.distance_m,Mapped to canonical.race.distance_m,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
rcName,경주명,200,1,일반,경주명,일반 | 새해맞이 기념 경주 | 농림축산식품부장관배(G2),VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,93,0,YES,canonical.race.race_name,Mapped to canonical.race.race_name,NO_OR_INTENTIONAL_CAST,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
rcNo,경주번호,2,1,1,경주번호,4 | 6 | 5,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,14,0,YES,canonical.race.race_no,Mapped to canonical.race.race_no,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
rcTime,경주기록,"5,1",1,75.9,경주기록,0 | 75.9 | 75.6,VARCHAR,"DECIMAL(8,1) seconds",49386,0.0,824,818,YES,canonical.runner_result.race_time (INTEGER; precision loss),Canonical INTEGER conversion loses tenth-second precision,YES,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
seG1fAccTime,서울G1F통과누적기록,"5,1",1,62.1,서울G1F통과누적기록,0 | 61.9 | 62,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,690,21469,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
seG3fAccTime,서울G3F통과누적기록,"5,1",1,36.6,서울G3F통과누적기록,0 | 37 | 37.1,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,600,21469,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
seS1fAccTime,서울S1F통과누적기록,"5,1",1,13.6,서울S1F통과누적기록,0 | 13.9 | 13.8,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,61,21469,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
se_1cAccTime,서울1코너통과누적기록,"5,1",1,0,서울1코너통과누적기록,0 | 20.5 | 14.5,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,149,42966,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
se_2cAccTime,서울2코너통과누적기록,"5,1",1,0,서울2코너통과누적기록,0 | 33.5 | 13.9,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,224,41213,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
se_3cAccTime,서울3코너통과누적기록,"5,1",1,24.3,서울3코너통과누적기록,0 | 24.7 | 25.1,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,526,21469,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
se_4cAccTime,서울4코너통과누적기록,"5,1",1,43,서울4코너통과누적기록,0 | 43.2 | 43.5,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,605,21469,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
sex,성별,10,1,수,성별,암 | 수 | 거,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,3,0,YES,canonical.runner_result.horse_sex,Mapped to canonical.runner_result.horse_sex,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
