feature_name,category,source_fields,calculation_definition,historical_window_or_condition,pit_rule,prediction_time_availability,missing_or_structural_missing,minimum_history_and_companion_count,leakage_risk,expected_redundancy,status,recommendation_group
race_day_of_week,CURRENT_RACE_CONDITION,rcDate,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_first_prize,CURRENT_RACE_CONDITION,chaksun1,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_second_prize,CURRENT_RACE_CONDITION,chaksun2,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_third_prize,CURRENT_RACE_CONDITION,chaksun3,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_fourth_prize,CURRENT_RACE_CONDITION,chaksun4,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_fifth_prize,CURRENT_RACE_CONDITION,chaksun5,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_bonus_1,CURRENT_RACE_CONDITION,buga1,Declared 1st-place additional prize amount,CURRENT,current-race pre-off only,published in the pre-race entry sheet,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_bonus_2,CURRENT_RACE_CONDITION,buga2,Declared 2nd-place additional prize amount,CURRENT,current-race pre-off only,published in the pre-race entry sheet,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_bonus_3,CURRENT_RACE_CONDITION,buga3,Declared 3rd-place additional prize amount,CURRENT,current-race pre-off only,published in the pre-race entry sheet,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
horse_prior_start_count,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_finish_count,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_finish_rate,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_plc_hit_count,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,hit count is exact function of count and rate,DEFERRED,FOLLOW_UP
horse_prior_plc_hit_rate,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_avg_finish_rank,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_days_since_last_start,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_history_available,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_start_count,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,window depth companion,APPROVED,IMMEDIATE_BASELINE
horse_recent5_finish_rate,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_plc_hit_rate,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_avg_finish_rank,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_distance_start_count,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_distance_plc_hit_rate,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
jockey_prior_start_count,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
jockey_prior_plc_hit_rate,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
jockey_history_available,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
trainer_prior_start_count,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
trainer_prior_plc_hit_rate,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
trainer_history_available,HISTORICAL_EXISTING,API4 prior runner events,Existing place_feature_snapshot_v1 definition,ALL or recent5/same-distance as named,historical.race_date < feature_as_of,historical only,left-censoring or no history,existing count/availability companion,LOW,related history summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_win_count,LONG_TERM_PERFORMANCE,"ord,rating,wgBudam",historical official rank 1 count,ALL,historical.race_date < feature_as_of,historical only except current rating in explicit delta,NULL when no eligible history,horse_prior_start_count,LOW,related counts/rates retained for later ablation,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_win_rate,LONG_TERM_PERFORMANCE,"ord,rating,wgBudam",historical official rank 1 / starts,ALL,historical.race_date < feature_as_of,historical only except current rating in explicit delta,NULL when no eligible history,horse_prior_start_count,LOW,related counts/rates retained for later ablation,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_top3_count,LONG_TERM_PERFORMANCE,"ord,rating,wgBudam",historical official rank <=3 count,ALL,historical.race_date < feature_as_of,historical only except current rating in explicit delta,NULL when no eligible history,horse_prior_start_count,LOW,related counts/rates retained for later ablation,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_top3_rate,LONG_TERM_PERFORMANCE,"ord,rating,wgBudam",historical official rank <=3 / starts,ALL,historical.race_date < feature_as_of,historical only except current rating in explicit delta,NULL when no eligible history,horse_prior_start_count,LOW,related counts/rates retained for later ablation,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_best_finish_rank,LONG_TERM_PERFORMANCE,"ord,rating,wgBudam",minimum historical valid finish rank,ALL,historical.race_date < feature_as_of,historical only except current rating in explicit delta,NULL when no eligible history,horse_prior_start_count,LOW,related counts/rates retained for later ablation,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_finish_rank_std,LONG_TERM_PERFORMANCE,"ord,rating,wgBudam",standard deviation of valid finish rank,ALL,historical.race_date < feature_as_of,historical only except current rating in explicit delta,NULL when no eligible history,horse_prior_start_count,LOW,related counts/rates retained for later ablation,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_rating_mean,LONG_TERM_PERFORMANCE,"ord,rating,wgBudam",mean historical rating,ALL,historical.race_date < feature_as_of,historical only except current rating in explicit delta,NULL when no eligible history,horse_prior_start_count,LOW,related counts/rates retained for later ablation,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_last_rating,LONG_TERM_PERFORMANCE,"ord,rating,wgBudam",latest historical rating,ALL,historical.race_date < feature_as_of,historical only except current rating in explicit delta,NULL when no eligible history,horse_prior_start_count,LOW,related counts/rates retained for later ablation,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_rating_change_last_start,LONG_TERM_PERFORMANCE,"ord,rating,wgBudam",current pre-race rating minus latest historical rating,ALL,historical.race_date < feature_as_of,historical only except current rating in explicit delta,NULL when no eligible history,horse_prior_start_count,LOW,related counts/rates retained for later ablation,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_prior_carried_weight_mean,LONG_TERM_PERFORMANCE,"ord,rating,wgBudam",mean historical carried weight,ALL,historical.race_date < feature_as_of,historical only except current rating in explicit delta,NULL when no eligible history,horse_prior_start_count,LOW,related counts/rates retained for later ablation,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_finish_rate,RECENT_FORM,"rcDate,ord,rating",valid finishes / starts,last 3 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent3_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_win_rate,RECENT_FORM,"rcDate,ord,rating",official rank 1 / starts,last 3 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent3_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_top3_rate,RECENT_FORM,"rcDate,ord,rating",official rank <=3 / starts,last 3 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent3_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_avg_finish_rank,RECENT_FORM,"rcDate,ord,rating",mean rank among valid finishes,last 3 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent3_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_best_finish_rank,RECENT_FORM,"rcDate,ord,rating",minimum rank among valid finishes,last 3 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent3_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_avg_rating,RECENT_FORM,"rcDate,ord,rating",mean historical rating,last 3 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent3_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_rating_change,RECENT_FORM,"rcDate,ord,rating",latest minus earliest rating in window,last 3 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent3_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_start_count,RECENT_FORM,rcDate,eligible observations in window,last 3 starts,historical.race_date < feature_as_of,historical only,0 means no history,self,LOW,window depth companion,APPROVED,IMMEDIATE_BASELINE
horse_recent5_win_rate,RECENT_FORM,"rcDate,ord,rating",official rank 1 / starts,last 5 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent5_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_top3_rate,RECENT_FORM,"rcDate,ord,rating",official rank <=3 / starts,last 5 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent5_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_best_finish_rank,RECENT_FORM,"rcDate,ord,rating",minimum rank among valid finishes,last 5 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent5_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_avg_rating,RECENT_FORM,"rcDate,ord,rating",mean historical rating,last 5 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent5_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_rating_change,RECENT_FORM,"rcDate,ord,rating",latest minus earliest rating in window,last 5 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent5_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent10_finish_rate,RECENT_FORM,"rcDate,ord,rating",valid finishes / starts,last 10 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent10_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent10_win_rate,RECENT_FORM,"rcDate,ord,rating",official rank 1 / starts,last 10 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent10_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent10_top3_rate,RECENT_FORM,"rcDate,ord,rating",official rank <=3 / starts,last 10 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent10_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent10_avg_finish_rank,RECENT_FORM,"rcDate,ord,rating",mean rank among valid finishes,last 10 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent10_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent10_best_finish_rank,RECENT_FORM,"rcDate,ord,rating",minimum rank among valid finishes,last 10 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent10_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent10_avg_rating,RECENT_FORM,"rcDate,ord,rating",mean historical rating,last 10 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent10_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent10_rating_change,RECENT_FORM,"rcDate,ord,rating",latest minus earliest rating in window,last 10 starts,historical.race_date < feature_as_of,historical only,NULL when no eligible observation,horse_recent10_start_count,LOW,overlaps other recent windows,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent10_start_count,RECENT_FORM,rcDate,eligible observations in window,last 10 starts,historical.race_date < feature_as_of,historical only,0 means no history,self,LOW,window depth companion,APPROVED,IMMEDIATE_BASELINE
horse_same_meet_start_count,CONDITION_AFFINITY,"meet,ord",Historical start_count under same_meet,same_meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_same_meet_start_count,LOW,nested condition summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_meet_finish_rate,CONDITION_AFFINITY,"meet,ord",Historical finish_rate under same_meet,same_meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_same_meet_start_count,LOW,nested condition summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_meet_plc_hit_rate,CONDITION_AFFINITY,"meet,ord",Historical plc_hit_rate under same_meet,same_meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_same_meet_start_count,LOW,nested condition summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_meet_avg_finish_rank,CONDITION_AFFINITY,"meet,ord",Historical avg_finish_rank under same_meet,same_meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_same_meet_start_count,LOW,nested condition summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_distance_finish_rate,CONDITION_AFFINITY,"rcDist,ord",Historical finish_rate under same_distance,same_distance,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_same_distance_start_count,LOW,nested condition summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_distance_avg_finish_rank,CONDITION_AFFINITY,"rcDist,ord",Historical avg_finish_rank under same_distance,same_distance,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_same_distance_start_count,LOW,nested condition summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_meet_distance_start_count,CONDITION_AFFINITY,"meet,rcDist,ord",Historical start_count under same_meet_distance,same_meet_distance,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_same_meet_distance_start_count,LOW,nested condition summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_meet_distance_finish_rate,CONDITION_AFFINITY,"meet,rcDist,ord",Historical finish_rate under same_meet_distance,same_meet_distance,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_same_meet_distance_start_count,LOW,nested condition summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_meet_distance_plc_hit_rate,CONDITION_AFFINITY,"meet,rcDist,ord",Historical plc_hit_rate under same_meet_distance,same_meet_distance,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_same_meet_distance_start_count,LOW,nested condition summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_same_meet_distance_avg_finish_rank,CONDITION_AFFINITY,"meet,rcDist,ord",Historical avg_finish_rank under same_meet_distance,same_meet_distance,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_same_meet_distance_start_count,LOW,nested condition summaries,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_race_time_median,SPEED_SECTIONAL,rcTime,median valid historical seconds,last 3 valid records,historical.race_date < feature_as_of,historical only,0/non-start/structural missing excluded,horse_recent3_race_time_count,MEDIUM,distance and meet dependent,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_race_time_count,SPEED_SECTIONAL,rcTime,valid observations,last 3 valid records,historical.race_date < feature_as_of,historical only,0 means unavailable,self,LOW,companion count,APPROVED,IMMEDIATE_BASELINE
horse_recent3_s1f_median,SPEED_SECTIONAL,"seS1fAccTime,buS1fTime",median valid historical seconds,last 3 valid records,historical.race_date < feature_as_of,historical only,0/non-start/structural missing excluded,horse_recent3_s1f_count,MEDIUM,distance and meet dependent,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_s1f_count,SPEED_SECTIONAL,"seS1fAccTime,buS1fTime",valid observations,last 3 valid records,historical.race_date < feature_as_of,historical only,0 means unavailable,self,LOW,companion count,APPROVED,IMMEDIATE_BASELINE
horse_recent3_g3f_median,SPEED_SECTIONAL,"seG3fAccTime,bu_3fGTime","median historical final 600m seconds; Seoul rcTime-seG3fAccTime, Busan bu_3fGTime",last 3 valid records,historical.race_date < feature_as_of,historical only; venue semantics normalized from official definitions,structural missing by venue/distance,horse_recent3_g3f_count,MEDIUM,potentially different source semantics,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent3_g1f_median,SPEED_SECTIONAL,"seG1fAccTime,bu_1fGTime","median historical final 200m seconds; Seoul rcTime-seG1fAccTime, Busan bu_1fGTime",last 3 valid records,historical.race_date < feature_as_of,historical only; venue semantics normalized from official definitions,structural missing by venue/distance,horse_recent3_g1f_count,MEDIUM,potentially different source semantics,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_race_time_median,SPEED_SECTIONAL,rcTime,median valid historical seconds,last 5 valid records,historical.race_date < feature_as_of,historical only,0/non-start/structural missing excluded,horse_recent5_race_time_count,MEDIUM,distance and meet dependent,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_race_time_count,SPEED_SECTIONAL,rcTime,valid observations,last 5 valid records,historical.race_date < feature_as_of,historical only,0 means unavailable,self,LOW,companion count,APPROVED,IMMEDIATE_BASELINE
horse_recent5_s1f_median,SPEED_SECTIONAL,"seS1fAccTime,buS1fTime",median valid historical seconds,last 5 valid records,historical.race_date < feature_as_of,historical only,0/non-start/structural missing excluded,horse_recent5_s1f_count,MEDIUM,distance and meet dependent,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_s1f_count,SPEED_SECTIONAL,"seS1fAccTime,buS1fTime",valid observations,last 5 valid records,historical.race_date < feature_as_of,historical only,0 means unavailable,self,LOW,companion count,APPROVED,IMMEDIATE_BASELINE
horse_recent5_g3f_median,SPEED_SECTIONAL,"seG3fAccTime,bu_3fGTime","median historical final 600m seconds; Seoul rcTime-seG3fAccTime, Busan bu_3fGTime",last 5 valid records,historical.race_date < feature_as_of,historical only; venue semantics normalized from official definitions,structural missing by venue/distance,horse_recent5_g3f_count,MEDIUM,potentially different source semantics,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_g1f_median,SPEED_SECTIONAL,"seG1fAccTime,bu_1fGTime","median historical final 200m seconds; Seoul rcTime-seG1fAccTime, Busan bu_1fGTime",last 5 valid records,historical.race_date < feature_as_of,historical only; venue semantics normalized from official definitions,structural missing by venue/distance,horse_recent5_g1f_count,MEDIUM,potentially different source semantics,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_last_weight_kg,HORSE_WEIGHT_HISTORY,wgHr,latest parsed historical horse weight,last 1 or 5 starts,historical.race_date < feature_as_of,historical only,parse/missing -> NULL,horse_recent5_weight_count where relevant,LOW,weight level and change related,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_last_weight_change_kg,HORSE_WEIGHT_HISTORY,wgHr,latest published change,last 1 or 5 starts,historical.race_date < feature_as_of,historical only,parse/missing -> NULL,horse_recent5_weight_count where relevant,LOW,weight level and change related,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_weight_mean,HORSE_WEIGHT_HISTORY,wgHr,mean weight over last five starts,last 1 or 5 starts,historical.race_date < feature_as_of,historical only,parse/missing -> NULL,horse_recent5_weight_count where relevant,LOW,weight level and change related,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_weight_std,HORSE_WEIGHT_HISTORY,wgHr,weight standard deviation over last five starts,last 1 or 5 starts,historical.race_date < feature_as_of,historical only,parse/missing -> NULL,horse_recent5_weight_count where relevant,LOW,weight level and change related,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_recent5_weight_count,HORSE_WEIGHT_HISTORY,wgHr,valid weight observations,last 1 or 5 starts,historical.race_date < feature_as_of,historical only,parse/missing -> NULL,horse_recent5_weight_count where relevant,LOW,weight level and change related,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
