position,feature_name,feature_family,category,required_raw_fields,source_candidate,entity_key,prediction_time_availability,pit_requirement,current_implementation_status,blocker_or_uncertainty,notes
40,horse_prior_best_finish_rank,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
41,horse_prior_finish_rank_std,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
42,horse_prior_rating_mean,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
43,horse_last_rating,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
44,horse_rating_change_last_start,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
45,horse_prior_carried_weight_mean,historical_horse_weight,B,historical horse weight/change and race_date,canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
46,horse_recent3_win_rate,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
47,horse_recent3_top3_rate,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
48,horse_recent3_avg_finish_rank,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
49,horse_recent3_best_finish_rank,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
50,horse_recent3_avg_rating,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
51,horse_recent3_rating_change,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
52,horse_recent3_start_count,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
53,horse_recent5_win_rate,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
54,horse_recent5_top3_rate,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
55,horse_recent5_best_finish_rank,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
56,horse_recent5_avg_rating,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
57,horse_recent5_rating_change,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
58,horse_recent10_win_rate,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
59,horse_recent10_top3_rate,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
60,horse_recent10_avg_finish_rank,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
61,horse_recent10_best_finish_rank,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
62,horse_recent10_avg_rating,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
63,horse_recent10_rating_change,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
64,horse_recent10_start_count,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
65,horse_same_meet_start_count,historical_horse_aptitude,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
66,horse_same_meet_finish_rate,historical_horse_aptitude,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
67,horse_same_meet_plc_hit_rate,historical_horse_aptitude,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
68,horse_same_meet_avg_finish_rank,historical_horse_aptitude,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
69,horse_same_distance_avg_finish_rank,historical_horse_aptitude,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
70,horse_same_meet_distance_start_count,historical_horse_aptitude,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
71,horse_same_meet_distance_plc_hit_rate,historical_horse_aptitude,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
72,horse_same_meet_distance_avg_finish_rank,historical_horse_aptitude,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
73,horse_recent3_race_time_count,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
74,horse_recent3_s1f_median,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
75,horse_recent3_s1f_count,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
76,horse_recent3_g3f_median,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
77,horse_recent3_g1f_median,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
78,horse_recent5_race_time_count,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
79,horse_recent5_s1f_median,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
80,horse_recent5_s1f_count,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
81,horse_recent5_g3f_median,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
82,horse_recent5_g1f_median,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
83,horse_last_weight_kg,historical_horse_weight,B,historical horse weight/change and race_date,canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
84,horse_last_weight_change_kg,historical_horse_weight,B,historical horse weight/change and race_date,canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
85,horse_recent5_weight_mean,historical_horse_weight,B,historical horse weight/change and race_date,canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
86,horse_recent5_weight_std,historical_horse_weight,B,historical horse weight/change and race_date,canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
87,horse_recent5_weight_count,historical_horse_weight,B,historical horse weight/change and race_date,canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
88,jockey_recent10_plc_hit_rate,historical_jockey,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
89,jockey_same_meet_start_count,historical_jockey,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
90,jockey_same_meet_plc_hit_rate,historical_jockey,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
91,trainer_recent10_plc_hit_rate,historical_trainer,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,trainer_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
92,trainer_same_meet_start_count,historical_trainer,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,trainer_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
93,trainer_same_meet_plc_hit_rate,historical_trainer,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,trainer_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
94,horse_jockey_recent10_start_count,historical_horse_jockey,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id+jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
95,horse_jockey_recent10_plc_hit_rate,historical_horse_jockey,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id+jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
96,horse_jockey_same_meet_start_count,historical_horse_jockey,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id+jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
97,horse_jockey_same_meet_plc_hit_rate,historical_horse_jockey,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id+jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
98,owner_prior_start_count,historical_owner,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,owner_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,owner ID gaps; no silent name fallback,PIT-only history
99,owner_prior_plc_hit_rate,historical_owner,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,owner_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,owner ID gaps; no silent name fallback,PIT-only history
100,horse_trainer_prior_start_count,historical_horse_trainer,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id+trainer_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
101,horse_trainer_prior_plc_hit_rate,historical_horse_trainer,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id+trainer_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
102,current_weather,race_day_track_weather,C,weather,KRA official race-day track/weather screen,race_date+meet_code+race_no; horse_id when runner-level,after race-day posting before cutoff,observed_at <= prediction_cutoff,historical parsing only; live ingestion absent,timestamped structured capture absent,capture before cutoff with timestamp
103,current_track_condition,race_day_track_weather,C,track,KRA official race-day track/weather screen,race_date+meet_code+race_no; horse_id when runner-level,after race-day posting before cutoff,observed_at <= prediction_cutoff,historical parsing only; live ingestion absent,timestamped structured capture absent,capture before cutoff with timestamp
104,current_track_moisture_percent,race_day_track_weather,C,track moisture percent,KRA official race-day track/weather screen,race_date+meet_code+race_no; horse_id when runner-level,after race-day posting before cutoff,observed_at <= prediction_cutoff,historical parsing only; live ingestion absent,timestamped structured capture absent,capture before cutoff with timestamp
105,current_horse_weight_kg,race_day_horse_weight,C,wgHr current weight,KRA API25_1 or official horse-weight screen,race_date+meet_code+race_no; horse_id when runner-level,after race-day posting before cutoff,observed_at <= prediction_cutoff,historical parsing only; live ingestion absent,API25 access/timing unconfirmed,capture before cutoff with timestamp
106,current_horse_weight_change_kg,race_day_horse_weight,C,wgHr change,KRA API25_1 or official horse-weight screen,race_date+meet_code+race_no; horse_id when runner-level,after race-day posting before cutoff,observed_at <= prediction_cutoff,historical parsing only; live ingestion absent,API25 access/timing unconfirmed,capture before cutoff with timestamp
