bundle,feature_name,source_fields,event_formula,window,aggregation,companion,pit_rule,missing_rule,incremental_information
F2,horse_recent5_finish_vs_start_advantage_count,s1f_seconds; historical_g1f_seconds,count jointly valid events,recent 5 jointly valid events,count,self,historical_race_date < feature_as_of,0 if no joint event,records co-observed whole-race shape depth
F3,rating_field_percentile,rating,higher-is-better field percentile,current race,race cross-section,registered_runner_count,all inputs available by prediction cutoff,NULL if own value missing or fewer than 3 comparable runners,locates official rating within today's opposition
F3,carried_weight_vs_field_median_kg,carried_weight,runner value-field median,current race,race cross-section,registered_runner_count,all inputs available by prediction cutoff,NULL if own value missing or fewer than 3 comparable runners,captures relative burden rather than treating the same kg equally in every field
F3,horse_prior_plc_hit_rate_field_percentile,horse_prior_plc_hit_rate,higher-is-better field percentile,current race,race cross-section,horse_prior_start_count,base history is PIT and field values are cutoff-known,NULL if own rate missing or fewer than 3 comparable runners,compares long-term PLC record with today's rivals
F3,horse_recent5_plc_hit_rate_field_percentile,horse_recent5_plc_hit_rate,higher-is-better field percentile,current race,race cross-section,horse_recent5_start_count,base history is PIT and field values are cutoff-known,NULL if own rate missing or fewer than 3 comparable runners,compares recent PLC form with today's rivals
F3,horse_same_distance_plc_hit_rate_field_percentile,horse_same_distance_plc_hit_rate,higher-is-better field percentile,current race,race cross-section,horse_same_distance_start_count,base history is PIT and field values are cutoff-known,NULL if own rate missing or fewer than 3 comparable runners,compares distance affinity within today's field
F3,jockey_recent10_plc_hit_rate_field_percentile,jockey_recent10_plc_hit_rate,higher-is-better field percentile,current race,race cross-section,jockey_recent10_start_count,base history is PIT and field values are cutoff-known,NULL if own rate missing or fewer than 3 comparable runners,compares current jockey recent form with rival jockeys
F3,trainer_recent10_plc_hit_rate_field_percentile,trainer_recent10_plc_hit_rate,higher-is-better field percentile,current race,race cross-section,trainer_recent10_start_count,base history is PIT and field values are cutoff-known,NULL if own rate missing or fewer than 3 comparable runners,compares current trainer recent form with rival trainers
F3,horse_recent5_s1f_field_percentile,horse_recent5_s1f_median,lower-is-better field percentile,current race,race cross-section,horse_recent5_s1f_count,base sectionals are historical and field values are cutoff-known,NULL if own median missing or fewer than 3 comparable runners,locates historical opening speed among today's rivals
F3,horse_recent5_g3f_field_percentile,horse_recent5_g3f_median,lower-is-better field percentile,current race,race cross-section,horse_recent5_g3f_count,base sectionals are historical and field values are cutoff-known,NULL if own median missing or fewer than 3 comparable runners,locates historical final-600m speed among today's rivals
F3,horse_recent5_g1f_field_percentile,horse_recent5_g1f_median,lower-is-better field percentile,current race,race cross-section,horse_recent5_g1f_count,base sectionals are historical and field values are cutoff-known,NULL if own median missing or fewer than 3 comparable runners,locates historical final-200m speed among today's rivals
